sno,act,srcUpdateTime,total,latitude,longitude,available_return_bikes
500111014,1,2024-07-22 23:49:22,40,25.04697,121.61375,4
500111014,1,2024-07-22 23:50:28,40,25.04697,121.61375,4
500111014,1,2024-07-22 23:51:22,40,25.04697,121.61375,4
500111014,1,2024-07-22 23:52:22,40,25.04697,121.61375,4
500111014,1,2024-07-22 23:53:22,40,25.04697,121.61375,4
500111014,1,2024-07-22 23:54:23,40,25.04697,121.61375,4
500111014,1,2024-07-22 23:55:23,40,25.04697,121.61375,4
500111014,1,2024-07-22 23:56:23,40,25.04697,121.61375,4
500111014,1,2024-07-22 23:57:22,40,25.04697,121.61375,4
500111014,1,2024-07-22 23:58:23,40,25.04697,121.61375,4
500111014,1,2024-07-22 23:59:22,40,25.04697,121.61375,4
500111014,1,2024-07-23 00:00:29,40,25.04697,121.61375,4
500111014,1,2024-07-23 00:01:23,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:02:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:03:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:04:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:05:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:06:23,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:07:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:08:23,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:08:23,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:10:28,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:11:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:12:23,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:13:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:14:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:15:23,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:16:22,40,25.04697,121.61375,4
500111014,1,2024-07-23 00:17:22,40,25.04697,121.61375,4
500111014,1,2024-07-23 00:18:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:19:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:20:28,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:21:23,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:22:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:23:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:24:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:25:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:26:23,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:27:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:28:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:29:23,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:30:28,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:31:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:32:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:33:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:34:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:35:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:36:23,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:37:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:38:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:39:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:40:28,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:41:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:42:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:43:22,40,25.04697,121.61375,4
500111014,1,2024-07-23 00:44:22,40,25.04697,121.61375,4
500111014,1,2024-07-23 00:45:22,40,25.04697,121.61375,4
500111014,1,2024-07-23 00:46:22,40,25.04697,121.61375,4
500111014,1,2024-07-23 00:47:23,40,25.04697,121.61375,4
500111014,1,2024-07-23 00:48:22,40,25.04697,121.61375,4
500111014,1,2024-07-23 00:49:22,40,25.04697,121.61375,4
500111014,1,2024-07-23 00:50:29,40,25.04697,121.61375,4
500111014,1,2024-07-23 00:51:22,40,25.04697,121.61375,4
500111014,1,2024-07-23 00:52:22,40,25.04697,121.61375,4
500111014,1,2024-07-23 00:53:22,40,25.04697,121.61375,4
500111014,1,2024-07-23 00:54:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:55:21,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:56:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:57:23,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:58:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 00:59:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:00:27,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:01:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:02:23,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:03:23,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:04:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:05:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:06:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:07:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:08:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:09:21,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:10:28,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:11:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:12:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:13:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:14:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:15:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:16:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:17:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:18:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:19:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:20:29,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:21:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:22:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:23:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:24:21,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:25:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:26:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:27:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:28:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:29:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:30:28,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:31:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:32:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:33:22,40,25.04697,121.61375,5
500111014,1,2024-07-23 01:34:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 01:35:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 01:36:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 01:37:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 01:38:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 01:39:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 01:40:28,40,25.04697,121.61375,6
500111014,1,2024-07-23 01:41:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 01:42:22,40,25.04697,121.61375,6
500111014,1,2024-07-23 01:43:22,40,25.04697,121.61375,6
